"","Country_clean","Taxonomic_group","Etiology","Genus_name","Organism_n","Total_N","prop"
"118","India","Fungus","Eumycetoma","Exophiala",2,469,0.00426439232409382
"119","India","Fungus","Eumycetoma","Falcifomispora",0,469,0
"120","India","Fungus","Eumycetoma","Fusarium",5,469,0.0106609808102345
"121","India","Fungus","Eumycetoma","Madurella",47,469,0.100213219616205
"122","India","Fungus","Eumycetoma","Medicopsis",6,469,0.0127931769722814
"123","India","Fungus","Eumycetoma","Microsporum",0,469,0
"124","India","Fungus","Eumycetoma","Neoscytalidium",1,469,0.00213219616204691
"125","India","Fungus","Eumycetoma","Nigrograna",0,469,0
"126","India","Fungus","Eumycetoma","Penicillium",0,469,0
"127","India","Fungus","Eumycetoma","Phaeoacremonium",0,469,0
"128","India","Fungus","Eumycetoma","Sarocladium",0,469,0
"129","India","Fungus","Eumycetoma","Scedosporium",8,469,0.0170575692963753
"130","India","Fungus","Eumycetoma","Trematosphaeria",38,469,0.0810234541577825
"131","India","Fungus","Eumycetoma","Trichophyton",0,469,0
"132","India","Fungus","Eumycetoma","Xenoacremonium",0,469,0
"133","Iran","Bacteria","Actinomycetoma","Actinomadura",12,62,0.193548387096774
"134","Iran","Bacteria","Actinomycetoma","Nocardia",21,62,0.338709677419355
"135","Iran","Bacteria","Actinomycetoma","Streptomyces",2,62,0.032258064516129
"136","Iran","Fungus","Eumycetoma","Acremonium",0,62,0
"137","Iran","Fungus","Eumycetoma","Aspergillus",2,62,0.032258064516129
"138","Iran","Fungus","Eumycetoma","Cladophialophora",0,62,0
"139","Iran","Fungus","Eumycetoma","Cladosporium",0,62,0
"140","Iran","Fungus","Eumycetoma","Exophiala",1,62,0.0161290322580645
"141","Iran","Fungus","Eumycetoma","Falcifomispora",0,62,0
"142","Iran","Fungus","Eumycetoma","Fusarium",1,62,0.0161290322580645
"143","Iran","Fungus","Eumycetoma","Madurella",2,62,0.032258064516129
"144","Iran","Fungus","Eumycetoma","Medicopsis",0,62,0
"145","Iran","Fungus","Eumycetoma","Microsporum",0,62,0
"146","Iran","Fungus","Eumycetoma","Neoscytalidium",0,62,0
"147","Iran","Fungus","Eumycetoma","Nigrograna",0,62,0
"148","Iran","Fungus","Eumycetoma","Penicillium",0,62,0
"149","Iran","Fungus","Eumycetoma","Phaeoacremonium",0,62,0
"150","Iran","Fungus","Eumycetoma","Sarocladium",0,62,0
"151","Iran","Fungus","Eumycetoma","Scedosporium",8,62,0.129032258064516
"152","Iran","Fungus","Eumycetoma","Trematosphaeria",0,62,0
"153","Iran","Fungus","Eumycetoma","Trichophyton",0,62,0
"154","Iran","Fungus","Eumycetoma","Xenoacremonium",0,62,0
"155","Kenya","Bacteria","Actinomycetoma","Actinomadura",0,58,0
"156","Kenya","Bacteria","Actinomycetoma","Nocardia",0,58,0
"157","Kenya","Bacteria","Actinomycetoma","Streptomyces",1,58,0.0172413793103448
"158","Kenya","Fungus","Eumycetoma","Acremonium",0,58,0
"159","Kenya","Fungus","Eumycetoma","Aspergillus",0,58,0
"160","Kenya","Fungus","Eumycetoma","Cladophialophora",0,58,0
"161","Kenya","Fungus","Eumycetoma","Cladosporium",1,58,0.0172413793103448
"162","Kenya","Fungus","Eumycetoma","Exophiala",0,58,0
"163","Kenya","Fungus","Eumycetoma","Falcifomispora",0,58,0
"164","Kenya","Fungus","Eumycetoma","Fusarium",0,58,0
"165","Kenya","Fungus","Eumycetoma","Madurella",4,58,0.0689655172413793
"166","Kenya","Fungus","Eumycetoma","Medicopsis",0,58,0
"167","Kenya","Fungus","Eumycetoma","Microsporum",0,58,0
"168","Kenya","Fungus","Eumycetoma","Neoscytalidium",0,58,0
"169","Kenya","Fungus","Eumycetoma","Nigrograna",0,58,0
"170","Kenya","Fungus","Eumycetoma","Penicillium",0,58,0
"171","Kenya","Fungus","Eumycetoma","Phaeoacremonium",0,58,0
"172","Kenya","Fungus","Eumycetoma","Sarocladium",0,58,0
"173","Kenya","Fungus","Eumycetoma","Scedosporium",0,58,0
"174","Kenya","Fungus","Eumycetoma","Trematosphaeria",0,58,0
"175","Kenya","Fungus","Eumycetoma","Trichophyton",0,58,0
"176","Kenya","Fungus","Eumycetoma","Xenoacremonium",0,58,0
"177","Mali","Bacteria","Actinomycetoma","Actinomadura",3,19,0.157894736842105
"178","Mali","Bacteria","Actinomycetoma","Nocardia",0,19,0
"179","Mali","Bacteria","Actinomycetoma","Streptomyces",0,19,0
"180","Mali","Fungus","Eumycetoma","Acremonium",0,19,0
"181","Mali","Fungus","Eumycetoma","Aspergillus",0,19,0
"182","Mali","Fungus","Eumycetoma","Cladophialophora",0,19,0
"183","Mali","Fungus","Eumycetoma","Cladosporium",0,19,0
"184","Mali","Fungus","Eumycetoma","Exophiala",0,19,0
"185","Mali","Fungus","Eumycetoma","Falcifomispora",0,19,0
"186","Mali","Fungus","Eumycetoma","Fusarium",0,19,0
"187","Mali","Fungus","Eumycetoma","Madurella",16,19,0.842105263157895
"188","Mali","Fungus","Eumycetoma","Medicopsis",0,19,0
"189","Mali","Fungus","Eumycetoma","Microsporum",0,19,0
"190","Mali","Fungus","Eumycetoma","Neoscytalidium",0,19,0
"191","Mali","Fungus","Eumycetoma","Nigrograna",0,19,0
"192","Mali","Fungus","Eumycetoma","Penicillium",0,19,0
"193","Mali","Fungus","Eumycetoma","Phaeoacremonium",0,19,0
"194","Mali","Fungus","Eumycetoma","Sarocladium",0,19,0
"195","Mali","Fungus","Eumycetoma","Scedosporium",0,19,0
"196","Mali","Fungus","Eumycetoma","Trematosphaeria",0,19,0
"197","Mali","Fungus","Eumycetoma","Trichophyton",0,19,0
