"","Country_clean","Taxonomic_group","Etiology","Genus_name","Organism_n","Total_N","prop"
"374","Uganda","Fungus","Eumycetoma","Xenoacremonium",0,249,0
"375","United Arab Emirates","Bacteria","Actinomycetoma","Actinomadura",0,20,0
"376","United Arab Emirates","Bacteria","Actinomycetoma","Nocardia",0,20,0
"377","United Arab Emirates","Bacteria","Actinomycetoma","Streptomyces",0,20,0
"378","United Arab Emirates","Fungus","Eumycetoma","Acremonium",0,20,0
"379","United Arab Emirates","Fungus","Eumycetoma","Aspergillus",0,20,0
"380","United Arab Emirates","Fungus","Eumycetoma","Cladophialophora",0,20,0
"381","United Arab Emirates","Fungus","Eumycetoma","Cladosporium",0,20,0
"382","United Arab Emirates","Fungus","Eumycetoma","Exophiala",0,20,0
"383","United Arab Emirates","Fungus","Eumycetoma","Falcifomispora",0,20,0
"384","United Arab Emirates","Fungus","Eumycetoma","Fusarium",0,20,0
"385","United Arab Emirates","Fungus","Eumycetoma","Madurella",0,20,0
"386","United Arab Emirates","Fungus","Eumycetoma","Medicopsis",0,20,0
"387","United Arab Emirates","Fungus","Eumycetoma","Microsporum",0,20,0
"388","United Arab Emirates","Fungus","Eumycetoma","Neoscytalidium",0,20,0
"389","United Arab Emirates","Fungus","Eumycetoma","Nigrograna",0,20,0
"390","United Arab Emirates","Fungus","Eumycetoma","Penicillium",0,20,0
"391","United Arab Emirates","Fungus","Eumycetoma","Phaeoacremonium",0,20,0
"392","United Arab Emirates","Fungus","Eumycetoma","Sarocladium",0,20,0
"393","United Arab Emirates","Fungus","Eumycetoma","Scedosporium",0,20,0
"394","United Arab Emirates","Fungus","Eumycetoma","Trematosphaeria",0,20,0
"395","United Arab Emirates","Fungus","Eumycetoma","Trichophyton",0,20,0
"396","United Arab Emirates","Fungus","Eumycetoma","Xenoacremonium",0,20,0
"397","United Kingdom","Bacteria","Actinomycetoma","Actinomadura",0,43,0
"398","United Kingdom","Bacteria","Actinomycetoma","Nocardia",0,43,0
"399","United Kingdom","Bacteria","Actinomycetoma","Streptomyces",0,43,0
"400","United Kingdom","Fungus","Eumycetoma","Acremonium",0,43,0
"401","United Kingdom","Fungus","Eumycetoma","Aspergillus",0,43,0
"402","United Kingdom","Fungus","Eumycetoma","Cladophialophora",0,43,0
"403","United Kingdom","Fungus","Eumycetoma","Cladosporium",0,43,0
"404","United Kingdom","Fungus","Eumycetoma","Exophiala",0,43,0
"405","United Kingdom","Fungus","Eumycetoma","Falcifomispora",0,43,0
"406","United Kingdom","Fungus","Eumycetoma","Fusarium",0,43,0
"407","United Kingdom","Fungus","Eumycetoma","Madurella",2,43,0.0465116279069767
"408","United Kingdom","Fungus","Eumycetoma","Medicopsis",0,43,0
"409","United Kingdom","Fungus","Eumycetoma","Microsporum",0,43,0
"410","United Kingdom","Fungus","Eumycetoma","Neoscytalidium",0,43,0
"411","United Kingdom","Fungus","Eumycetoma","Nigrograna",0,43,0
"412","United Kingdom","Fungus","Eumycetoma","Penicillium",0,43,0
"413","United Kingdom","Fungus","Eumycetoma","Phaeoacremonium",0,43,0
"414","United Kingdom","Fungus","Eumycetoma","Sarocladium",0,43,0
"415","United Kingdom","Fungus","Eumycetoma","Scedosporium",0,43,0
"416","United Kingdom","Fungus","Eumycetoma","Trematosphaeria",3,43,0.0697674418604651
"417","United Kingdom","Fungus","Eumycetoma","Trichophyton",0,43,0
"418","United Kingdom","Fungus","Eumycetoma","Xenoacremonium",0,43,0
"419","Venezuela","Bacteria","Actinomycetoma","Actinomadura",3,53,0.0566037735849057
"420","Venezuela","Bacteria","Actinomycetoma","Nocardia",12,53,0.226415094339623
"421","Venezuela","Bacteria","Actinomycetoma","Streptomyces",0,53,0
"422","Venezuela","Fungus","Eumycetoma","Acremonium",0,53,0
"423","Venezuela","Fungus","Eumycetoma","Aspergillus",0,53,0
"424","Venezuela","Fungus","Eumycetoma","Cladophialophora",0,53,0
"425","Venezuela","Fungus","Eumycetoma","Cladosporium",0,53,0
"426","Venezuela","Fungus","Eumycetoma","Exophiala",0,53,0
"427","Venezuela","Fungus","Eumycetoma","Falcifomispora",0,53,0
"428","Venezuela","Fungus","Eumycetoma","Fusarium",0,53,0
"429","Venezuela","Fungus","Eumycetoma","Madurella",0,53,0
"430","Venezuela","Fungus","Eumycetoma","Medicopsis",0,53,0
"431","Venezuela","Fungus","Eumycetoma","Microsporum",1,53,0.0188679245283019
"432","Venezuela","Fungus","Eumycetoma","Neoscytalidium",0,53,0
"433","Venezuela","Fungus","Eumycetoma","Nigrograna",0,53,0
"434","Venezuela","Fungus","Eumycetoma","Penicillium",0,53,0
"435","Venezuela","Fungus","Eumycetoma","Phaeoacremonium",0,53,0
"436","Venezuela","Fungus","Eumycetoma","Sarocladium",0,53,0
"437","Venezuela","Fungus","Eumycetoma","Scedosporium",0,53,0
"438","Venezuela","Fungus","Eumycetoma","Trematosphaeria",0,53,0
"439","Venezuela","Fungus","Eumycetoma","Trichophyton",0,53,0
"440","Venezuela","Fungus","Eumycetoma","Xenoacremonium",0,53,0
"441","West Africa","Bacteria","Actinomycetoma","Actinomadura",7,46,0.152173913043478
