"","Body_region","mean_percent","lower_percent","upper_percent","n_studies"
"1","Buttocks_Groin",8.81113875518803,0.434782608695652,73.558648111332,22
"2","Face_Neck",5.3179113314155,0.401606425702811,40,30
"3","Lower_Limbs",76.9286040486939,9.34393638170974,100,56
"4","Multiple_sites",2.41398484511066,1.80522565320665,3.78845664886855,5
"5","Trunk",12.8110566362225,0.691990577149588,68.2451253481894,32
"6","Unspecified",10.7237798873466,0.333333333333333,31.7548746518106,19
"7","Upper_Limbs",9.37983979068164,1.76991150442478,22.4066390041494,49
