"","ID","Study_meta","Total_N","Nationality","n","prop"
"175","ID 3140","Mufti, Saudi Arabia, 2015",19,"Yemeni",4,0.210526315789474
"176","ID 3140","Mufti, Saudi Arabia, 2015",19,"Sudanese",2,0.105263157894737
"177","ID 3140","Mufti, Saudi Arabia, 2015",19,"Tunisia",NA,NA
"178","ID 3140","Mufti, Saudi Arabia, 2015",19,"Moroccan",NA,NA
"179","ID 3140","Mufti, Saudi Arabia, 2015",19,"Mauritania",NA,NA
"180","ID 3140","Mufti, Saudi Arabia, 2015",19,"Somalin",1,0.0526315789473684
"181","ID 3140","Mufti, Saudi Arabia, 2015",19,"Chadian",1,0.0526315789473684
"182","ID 3140","Mufti, Saudi Arabia, 2015",19,"Mali",1,0.0526315789473684
"183","ID 3140","Mufti, Saudi Arabia, 2015",19,"Ivorian",NA,NA
"184","ID 3140","Mufti, Saudi Arabia, 2015",19,"Senegalese",NA,NA
"185","ID 3140","Mufti, Saudi Arabia, 2015",19,"Burkina",NA,NA
"186","ID 3140","Mufti, Saudi Arabia, 2015",19,"Neger",NA,NA
"187","ID 3140","Mufti, Saudi Arabia, 2015",19,"Nigeria",NA,NA
"188","ID 3140","Mufti, Saudi Arabia, 2015",19,"Guinee",NA,NA
"189","ID 3140","Mufti, Saudi Arabia, 2015",19,"Benin",NA,NA
"190","ID 3140","Mufti, Saudi Arabia, 2015",19,"Not_reported",NA,NA
"191","ID 3494","Siblany, Saudi Arabia, 1998",36,"Indian",NA,NA
"192","ID 3494","Siblany, Saudi Arabia, 1998",36,"Bangladeshi",NA,NA
"193","ID 3494","Siblany, Saudi Arabia, 1998",36,"Saudi_Arabia",7,0.194444444444444
"194","ID 3494","Siblany, Saudi Arabia, 1998",36,"Yemeni",24,0.666666666666667
"195","ID 3494","Siblany, Saudi Arabia, 1998",36,"Sudanese",2,0.0555555555555556
"196","ID 3494","Siblany, Saudi Arabia, 1998",36,"Tunisia",NA,NA
"197","ID 3494","Siblany, Saudi Arabia, 1998",36,"Moroccan",NA,NA
"198","ID 3494","Siblany, Saudi Arabia, 1998",36,"Mauritania",NA,NA
"199","ID 3494","Siblany, Saudi Arabia, 1998",36,"Somalin",2,0.0555555555555556
"200","ID 3494","Siblany, Saudi Arabia, 1998",36,"Chadian",1,0.0277777777777778
"201","ID 3494","Siblany, Saudi Arabia, 1998",36,"Mali",NA,NA
"202","ID 3494","Siblany, Saudi Arabia, 1998",36,"Ivorian",NA,NA
"203","ID 3494","Siblany, Saudi Arabia, 1998",36,"Senegalese",NA,NA
"204","ID 3494","Siblany, Saudi Arabia, 1998",36,"Burkina",NA,NA
"205","ID 3494","Siblany, Saudi Arabia, 1998",36,"Neger",NA,NA
"206","ID 3494","Siblany, Saudi Arabia, 1998",36,"Nigeria",NA,NA
"207","ID 3494","Siblany, Saudi Arabia, 1998",36,"Guinee",NA,NA
"208","ID 3494","Siblany, Saudi Arabia, 1998",36,"Benin",NA,NA
"209","ID 3494","Siblany, Saudi Arabia, 1998",36,"Not_reported",NA,NA
