"","ID","Study_meta","Total_N","Body_region","n","prop"
"1","ID 1203","Batalla, Morocco, 2011",12,"Buttocks_Groin",0,0
"2","ID 1203","Batalla, Morocco, 2011",12,"Face_Neck",0,0
"3","ID 1203","Batalla, Morocco, 2011",12,"Lower_Limbs",10,0.833333333333333
"4","ID 1203","Batalla, Morocco, 2011",12,"Multiple_sites",0,0
"5","ID 1203","Batalla, Morocco, 2011",12,"Trunk",1,0.0833333333333333
"6","ID 1203","Batalla, Morocco, 2011",12,"Unspecified",0,0
"7","ID 1203","Batalla, Morocco, 2011",12,"Upper_Limbs",1,0.0833333333333333
"8","ID 1210","Luiz G. M, Brazil, 2008",27,"Buttocks_Groin",0,0
"9","ID 1210","Luiz G. M, Brazil, 2008",27,"Face_Neck",0,0
"10","ID 1210","Luiz G. M, Brazil, 2008",27,"Lower_Limbs",25,0.925925925925926
"11","ID 1210","Luiz G. M, Brazil, 2008",27,"Multiple_sites",0,0
"12","ID 1210","Luiz G. M, Brazil, 2008",27,"Trunk",0,0
"13","ID 1210","Luiz G. M, Brazil, 2008",27,"Unspecified",0,0
"14","ID 1210","Luiz G. M, Brazil, 2008",27,"Upper_Limbs",2,0.0740740740740741
"15","ID 1249","Aboudi, Sudan, 2017",100,"Buttocks_Groin",0,0
"16","ID 1249","Aboudi, Sudan, 2017",100,"Face_Neck",0,0
"17","ID 1249","Aboudi, Sudan, 2017",100,"Lower_Limbs",82,0.82
"18","ID 1249","Aboudi, Sudan, 2017",100,"Multiple_sites",0,0
"19","ID 1249","Aboudi, Sudan, 2017",100,"Trunk",0,0
"20","ID 1249","Aboudi, Sudan, 2017",100,"Unspecified",0,0
"21","ID 1249","Aboudi, Sudan, 2017",100,"Upper_Limbs",18,0.18
"22","ID 1263","Sran, India, 1973",110,"Buttocks_Groin",6,0.0545454545454545
"23","ID 1263","Sran, India, 1973",110,"Face_Neck",2,0.0181818181818182
"24","ID 1263","Sran, India, 1973",110,"Lower_Limbs",96,0.872727272727273
"25","ID 1263","Sran, India, 1973",110,"Multiple_sites",0,0
"26","ID 1263","Sran, India, 1973",110,"Trunk",0,0
"27","ID 1263","Sran, India, 1973",110,"Unspecified",0,0
"28","ID 1263","Sran, India, 1973",110,"Upper_Limbs",6,0.0545454545454545
"29","ID 136","Convit, Venezuela, 1959",37,"Buttocks_Groin",0,0
"30","ID 136","Convit, Venezuela, 1959",37,"Face_Neck",4,0.108108108108108
"31","ID 136","Convit, Venezuela, 1959",37,"Lower_Limbs",22,0.594594594594595
"32","ID 136","Convit, Venezuela, 1959",37,"Multiple_sites",0,0
"33","ID 136","Convit, Venezuela, 1959",37,"Trunk",9,0.243243243243243
"34","ID 136","Convit, Venezuela, 1959",37,"Unspecified",0,0
"35","ID 136","Convit, Venezuela, 1959",37,"Upper_Limbs",2,0.0540540540540541
"36","ID 137","Ndiaye, Senegal, 2011",113,"Buttocks_Groin",1,0.00884955752212389
"37","ID 137","Ndiaye, Senegal, 2011",113,"Face_Neck",3,0.0265486725663717
"38","ID 137","Ndiaye, Senegal, 2011",113,"Lower_Limbs",105,0.929203539823009
"39","ID 137","Ndiaye, Senegal, 2011",113,"Multiple_sites",0,0
"40","ID 137","Ndiaye, Senegal, 2011",113,"Trunk",2,0.0176991150442478
"41","ID 137","Ndiaye, Senegal, 2011",113,"Unspecified",0,0
"42","ID 137","Ndiaye, Senegal, 2011",113,"Upper_Limbs",2,0.0176991150442478
"43","ID 1640","Maritinez, Mexico, 1992",2105,"Buttocks_Groin",0,0
"44","ID 1640","Maritinez, Mexico, 1992",2105,"Face_Neck",40,0.0190023752969121
"45","ID 1640","Maritinez, Mexico, 1992",2105,"Lower_Limbs",1028,0.488361045130641
"46","ID 1640","Maritinez, Mexico, 1992",2105,"Multiple_sites",38,0.0180522565320665
"47","ID 1640","Maritinez, Mexico, 1992",2105,"Trunk",279,0.132541567695962
"48","ID 1640","Maritinez, Mexico, 1992",2105,"Unspecified",540,0.256532066508314
"49","ID 1640","Maritinez, Mexico, 1992",2105,"Upper_Limbs",218,0.103562945368171
"50","ID 1641","Lopez, Mexico, 2023",70,"Buttocks_Groin",4,0.0571428571428571
"51","ID 1641","Lopez, Mexico, 2023",70,"Face_Neck",1,0.0142857142857143
"52","ID 1641","Lopez, Mexico, 2023",70,"Lower_Limbs",18,0.257142857142857
"53","ID 1641","Lopez, Mexico, 2023",70,"Multiple_sites",0,0
"54","ID 1641","Lopez, Mexico, 2023",70,"Trunk",39,0.557142857142857
"55","ID 1641","Lopez, Mexico, 2023",70,"Unspecified",0,0
"56","ID 1641","Lopez, Mexico, 2023",70,"Upper_Limbs",8,0.114285714285714
"57","ID 1648","Maiti, India, 2002",264,"Buttocks_Groin",5,0.0189393939393939
"58","ID 1648","Maiti, India, 2002",264,"Face_Neck",2,0.00757575757575758
"59","ID 1648","Maiti, India, 2002",264,"Lower_Limbs",198,0.75
"60","ID 1648","Maiti, India, 2002",264,"Multiple_sites",0,0
"61","ID 1648","Maiti, India, 2002",264,"Trunk",28,0.106060606060606
"62","ID 1648","Maiti, India, 2002",264,"Unspecified",10,0.0378787878787879
"63","ID 1648","Maiti, India, 2002",264,"Upper_Limbs",31,0.117424242424242
"64","ID 1689","Negroni, Argentina, 2006",76,"Buttocks_Groin",1,0.0131578947368421
