"","ID","Study_meta","Country_clean","Total_N","Genus_name","Species_name","Organism_n","Taxonomic_group","Etiology"
"1","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Actinomadura","Actinomadura_spp",NA,"Bacteria","Actinomycetoma"
"2","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Actinomadura","Actinomadura_pelletieri",NA,"Bacteria","Actinomycetoma"
"3","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Actinomadura","Actinomadura_bovis",NA,"Bacteria","Actinomycetoma"
"4","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Actinomadura","Actinomadura_madurae",14,"Bacteria","Actinomycetoma"
"5","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Actinomadura","Actinomadura_israeli",NA,"Bacteria","Actinomycetoma"
"6","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Bacillus","Bacillus_cereus",NA,"Bacteria","Actinomycetoma"
"7","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Cellulosimicrobium","Cellulosimicrobium_cellulans",NA,"Bacteria","Actinomycetoma"
"8","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Corynebacterium","Corynebacterium_mucifaciens",NA,"Bacteria","Actinomycetoma"
"9","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Cutibacterium","Cutibacterium_acnes",NA,"Bacteria","Actinomycetoma"
"10","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Enterococcus","Enterococcus_malodoratus",NA,"Bacteria","Actinomycetoma"
"11","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Klebsiella","Klebsiella_oxytoca",NA,"Bacteria","Actinomycetoma"
"12","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Nocardia","Nocardia_spp",1,"Bacteria","Actinomycetoma"
"13","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Nocardia","Nocardia_asteroides",NA,"Bacteria","Actinomycetoma"
"14","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Nocardia","Nocardia_brasiliensis",NA,"Bacteria","Actinomycetoma"
"15","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Nocardia","Nocardia_harenae",NA,"Bacteria","Actinomycetoma"
"16","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Nocardia","Nocardia_otitidiscaviarum",NA,"Bacteria","Actinomycetoma"
"17","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Nocardia","Nocardia_takenensis",NA,"Bacteria","Actinomycetoma"
"18","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Nocardia","Nocardia_transvalensis",NA,"Bacteria","Actinomycetoma"
"19","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Sphingomonas","Sphingomonas_echinoides",NA,"Bacteria","Actinomycetoma"
"20","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Staphylococcus","Staphylococcus_spp",NA,"Bacteria","Actinomycetoma"
"21","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Staphylococcus","Staphylococcus_aureus",NA,"Bacteria","Actinomycetoma"
"22","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Staphylococcus","Staphylococcus_epidermidis",NA,"Bacteria","Actinomycetoma"
"23","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Staphylococcus","Staphylococcus_simulans",NA,"Bacteria","Actinomycetoma"
"24","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Streptomyces","Streptomyces_spp",NA,"Bacteria","Actinomycetoma"
"25","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Streptomyces","Streptomyces_somaliensis",NA,"Bacteria","Actinomycetoma"
"26","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Unidentified_Actinomycetoma","Actinomycetoma_spp",NA,"Bacteria","Actinomycetoma"
"27","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Acremonium","Acremonium_spp",NA,"Fungus","Eumycetoma"
"28","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Aspergillus","Aspergillus_spp",NA,"Fungus","Eumycetoma"
"29","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Aspergillus","Aspergillus_flavus",NA,"Fungus","Eumycetoma"
"30","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Aspergillus","Aspergillus_fumigatus",NA,"Fungus","Eumycetoma"
"31","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Aspergillus","Aspergillus_nidulans",NA,"Fungus","Eumycetoma"
"32","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Aspergillus","Aspergillus_niger",NA,"Fungus","Eumycetoma"
