"","ID","Study_meta","Country_clean","Total_N","Genus_name","Species_name","Organism_n","Taxonomic_group","Etiology"
"33","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Cladophialophora","Cladophialophora_bantiana",NA,"Fungus","Eumycetoma"
"34","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Cladophialophora","Cladophialophora_mycetomatis",NA,"Fungus","Eumycetoma"
"35","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Cladosporium","Cladosporium_ramotenellum",NA,"Fungus","Eumycetoma"
"36","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Unidentified_Eumycetoma","Eumycetoma_spp",NA,"Fungus","Eumycetoma"
"37","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Exophiala","Exophiala_spp",NA,"Fungus","Eumycetoma"
"38","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Exophiala","Exophiala_jeanselmei",NA,"Fungus","Eumycetoma"
"39","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Falcifomispora","Falcifomispora_senegaliensis",NA,"Fungus","Eumycetoma"
"40","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Fusarium","Fusarium_spp",NA,"Fungus","Eumycetoma"
"41","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Fusarium","Fusarium_oxysporuim",NA,"Fungus","Eumycetoma"
"42","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Fusarium","Fusarium_solani_species_complex",NA,"Fungus","Eumycetoma"
"43","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Fusarium","Fusarium_subglutinans",NA,"Fungus","Eumycetoma"
"44","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Macroventuria","Macroventuria_anomochaeta",NA,"Fungus","Eumycetoma"
"45","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Madurella","Madurella_spp",NA,"Fungus","Eumycetoma"
"46","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Madurella","Madurella_fahalii",NA,"Fungus","Eumycetoma"
"47","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Madurella","Madurella_mycetomatis",2,"Fungus","Eumycetoma"
"48","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Medicopsis","Medicopsis_romeroi",NA,"Fungus","Eumycetoma"
"49","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Microsporum","Microsporum_canis",NA,"Fungus","Eumycetoma"
"50","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Microsporum","Microsporum_audouini",NA,"Fungus","Eumycetoma"
"51","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Penicillium","Penicillium_spp",NA,"Fungus","Eumycetoma"
"52","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Phaeoacremonium","Phaeoacremonium_parasiticum",NA,"Fungus","Eumycetoma"
"53","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Phomopsis","Phomopsis_longicola",NA,"Fungus","Eumycetoma"
"54","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Nigrograna","Nigrograna_mackinnonii",NA,"Fungus","Eumycetoma"
"55","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Sarocladium","Sarocladium_kiliense",NA,"Fungus","Eumycetoma"
"56","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Scedosporium","Scedosporium_spp",NA,"Fungus","Eumycetoma"
"57","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Scedosporium","Scedosporium_apiospermum",NA,"Fungus","Eumycetoma"
"58","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Scedosporium","Scedosporium_boydii",1,"Fungus","Eumycetoma"
"59","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Subramaniula","Subramaniula_obscura",NA,"Fungus","Eumycetoma"
"60","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Subramaniula","Subramaniula_thielavioides",NA,"Fungus","Eumycetoma"
"61","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Trematosphaeria","Trematosphaeria_grisea",NA,"Fungus","Eumycetoma"
"62","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Neoscytalidium","Neoscytalidium_dimidiatum",NA,"Fungus","Eumycetoma"
"63","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Trichophyton","Trichophyton_mentagrophytes",NA,"Fungus","Eumycetoma"
"64","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Trichophyton","Trichophyton_soudanense",NA,"Fungus","Eumycetoma"
"65","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Xenoacremonium","Xenoacremonium_recifei",NA,"Fungus","Eumycetoma"
"66","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Unidentified","Unidentified",NA,"Unidentified","Unidentified"
"67","ID 801","Aounallah, Tunisia, 2023","Tunisia",18,"Not_reported","Not_reported",0,"Not_reported","Not_reported"
"68","ID 509","Kamalam, India, 1976","India",5,"Actinomadura","Actinomadura_spp",1,"Bacteria","Actinomycetoma"
"69","ID 509","Kamalam, India, 1976","India",5,"Actinomadura","Actinomadura_pelletieri",NA,"Bacteria","Actinomycetoma"
"70","ID 509","Kamalam, India, 1976","India",5,"Actinomadura","Actinomadura_bovis",NA,"Bacteria","Actinomycetoma"
"71","ID 509","Kamalam, India, 1976","India",5,"Actinomadura","Actinomadura_madurae",NA,"Bacteria","Actinomycetoma"
"72","ID 509","Kamalam, India, 1976","India",5,"Actinomadura","Actinomadura_israeli",NA,"Bacteria","Actinomycetoma"
"73","ID 509","Kamalam, India, 1976","India",5,"Bacillus","Bacillus_cereus",NA,"Bacteria","Actinomycetoma"
"74","ID 509","Kamalam, India, 1976","India",5,"Cellulosimicrobium","Cellulosimicrobium_cellulans",NA,"Bacteria","Actinomycetoma"
"75","ID 509","Kamalam, India, 1976","India",5,"Corynebacterium","Corynebacterium_mucifaciens",NA,"Bacteria","Actinomycetoma"
"76","ID 509","Kamalam, India, 1976","India",5,"Cutibacterium","Cutibacterium_acnes",NA,"Bacteria","Actinomycetoma"
"77","ID 509","Kamalam, India, 1976","India",5,"Enterococcus","Enterococcus_malodoratus",NA,"Bacteria","Actinomycetoma"
"78","ID 509","Kamalam, India, 1976","India",5,"Klebsiella","Klebsiella_oxytoca",NA,"Bacteria","Actinomycetoma"
"79","ID 509","Kamalam, India, 1976","India",5,"Nocardia","Nocardia_spp",NA,"Bacteria","Actinomycetoma"
"80","ID 509","Kamalam, India, 1976","India",5,"Nocardia","Nocardia_asteroides",NA,"Bacteria","Actinomycetoma"
"81","ID 509","Kamalam, India, 1976","India",5,"Nocardia","Nocardia_brasiliensis",NA,"Bacteria","Actinomycetoma"
"82","ID 509","Kamalam, India, 1976","India",5,"Nocardia","Nocardia_harenae",NA,"Bacteria","Actinomycetoma"
"83","ID 509","Kamalam, India, 1976","India",5,"Nocardia","Nocardia_otitidiscaviarum",NA,"Bacteria","Actinomycetoma"
"84","ID 509","Kamalam, India, 1976","India",5,"Nocardia","Nocardia_takenensis",NA,"Bacteria","Actinomycetoma"
"85","ID 509","Kamalam, India, 1976","India",5,"Nocardia","Nocardia_transvalensis",NA,"Bacteria","Actinomycetoma"
"86","ID 509","Kamalam, India, 1976","India",5,"Sphingomonas","Sphingomonas_echinoides",NA,"Bacteria","Actinomycetoma"
"87","ID 509","Kamalam, India, 1976","India",5,"Staphylococcus","Staphylococcus_spp",NA,"Bacteria","Actinomycetoma"
"88","ID 509","Kamalam, India, 1976","India",5,"Staphylococcus","Staphylococcus_aureus",NA,"Bacteria","Actinomycetoma"
"89","ID 509","Kamalam, India, 1976","India",5,"Staphylococcus","Staphylococcus_epidermidis",NA,"Bacteria","Actinomycetoma"
"90","ID 509","Kamalam, India, 1976","India",5,"Staphylococcus","Staphylococcus_simulans",NA,"Bacteria","Actinomycetoma"
"91","ID 509","Kamalam, India, 1976","India",5,"Streptomyces","Streptomyces_spp",NA,"Bacteria","Actinomycetoma"
"92","ID 509","Kamalam, India, 1976","India",5,"Streptomyces","Streptomyces_somaliensis",NA,"Bacteria","Actinomycetoma"
"93","ID 509","Kamalam, India, 1976","India",5,"Unidentified_Actinomycetoma","Actinomycetoma_spp",NA,"Bacteria","Actinomycetoma"
"94","ID 509","Kamalam, India, 1976","India",5,"Acremonium","Acremonium_spp",NA,"Fungus","Eumycetoma"
"95","ID 509","Kamalam, India, 1976","India",5,"Aspergillus","Aspergillus_spp",NA,"Fungus","Eumycetoma"
"96","ID 509","Kamalam, India, 1976","India",5,"Aspergillus","Aspergillus_flavus",NA,"Fungus","Eumycetoma"
"97","ID 509","Kamalam, India, 1976","India",5,"Aspergillus","Aspergillus_fumigatus",NA,"Fungus","Eumycetoma"
"98","ID 509","Kamalam, India, 1976","India",5,"Aspergillus","Aspergillus_nidulans",NA,"Fungus","Eumycetoma"
"99","ID 509","Kamalam, India, 1976","India",5,"Aspergillus","Aspergillus_niger",NA,"Fungus","Eumycetoma"
"100","ID 509","Kamalam, India, 1976","India",5,"Cladophialophora","Cladophialophora_bantiana",NA,"Fungus","Eumycetoma"
"101","ID 509","Kamalam, India, 1976","India",5,"Cladophialophora","Cladophialophora_mycetomatis",NA,"Fungus","Eumycetoma"
"102","ID 509","Kamalam, India, 1976","India",5,"Cladosporium","Cladosporium_ramotenellum",NA,"Fungus","Eumycetoma"
"103","ID 509","Kamalam, India, 1976","India",5,"Unidentified_Eumycetoma","Eumycetoma_spp",NA,"Fungus","Eumycetoma"
"104","ID 509","Kamalam, India, 1976","India",5,"Exophiala","Exophiala_spp",NA,"Fungus","Eumycetoma"
"105","ID 509","Kamalam, India, 1976","India",5,"Exophiala","Exophiala_jeanselmei",NA,"Fungus","Eumycetoma"
"106","ID 509","Kamalam, India, 1976","India",5,"Falcifomispora","Falcifomispora_senegaliensis",NA,"Fungus","Eumycetoma"
"107","ID 509","Kamalam, India, 1976","India",5,"Fusarium","Fusarium_spp",NA,"Fungus","Eumycetoma"
"108","ID 509","Kamalam, India, 1976","India",5,"Fusarium","Fusarium_oxysporuim",NA,"Fungus","Eumycetoma"
"109","ID 509","Kamalam, India, 1976","India",5,"Fusarium","Fusarium_solani_species_complex",NA,"Fungus","Eumycetoma"
"110","ID 509","Kamalam, India, 1976","India",5,"Fusarium","Fusarium_subglutinans",NA,"Fungus","Eumycetoma"
"111","ID 509","Kamalam, India, 1976","India",5,"Macroventuria","Macroventuria_anomochaeta",NA,"Fungus","Eumycetoma"
"112","ID 509","Kamalam, India, 1976","India",5,"Madurella","Madurella_spp",NA,"Fungus","Eumycetoma"
"113","ID 509","Kamalam, India, 1976","India",5,"Madurella","Madurella_fahalii",NA,"Fungus","Eumycetoma"
"114","ID 509","Kamalam, India, 1976","India",5,"Madurella","Madurella_mycetomatis",NA,"Fungus","Eumycetoma"
"115","ID 509","Kamalam, India, 1976","India",5,"Medicopsis","Medicopsis_romeroi",NA,"Fungus","Eumycetoma"
"116","ID 509","Kamalam, India, 1976","India",5,"Microsporum","Microsporum_canis",NA,"Fungus","Eumycetoma"
"117","ID 509","Kamalam, India, 1976","India",5,"Microsporum","Microsporum_audouini",NA,"Fungus","Eumycetoma"
"118","ID 509","Kamalam, India, 1976","India",5,"Penicillium","Penicillium_spp",NA,"Fungus","Eumycetoma"
"119","ID 509","Kamalam, India, 1976","India",5,"Phaeoacremonium","Phaeoacremonium_parasiticum",NA,"Fungus","Eumycetoma"
"120","ID 509","Kamalam, India, 1976","India",5,"Phomopsis","Phomopsis_longicola",NA,"Fungus","Eumycetoma"
"121","ID 509","Kamalam, India, 1976","India",5,"Nigrograna","Nigrograna_mackinnonii",NA,"Fungus","Eumycetoma"
"122","ID 509","Kamalam, India, 1976","India",5,"Sarocladium","Sarocladium_kiliense",NA,"Fungus","Eumycetoma"
"123","ID 509","Kamalam, India, 1976","India",5,"Scedosporium","Scedosporium_spp",NA,"Fungus","Eumycetoma"
"124","ID 509","Kamalam, India, 1976","India",5,"Scedosporium","Scedosporium_apiospermum",NA,"Fungus","Eumycetoma"
"125","ID 509","Kamalam, India, 1976","India",5,"Scedosporium","Scedosporium_boydii",NA,"Fungus","Eumycetoma"
"126","ID 509","Kamalam, India, 1976","India",5,"Subramaniula","Subramaniula_obscura",NA,"Fungus","Eumycetoma"
"127","ID 509","Kamalam, India, 1976","India",5,"Subramaniula","Subramaniula_thielavioides",NA,"Fungus","Eumycetoma"
"128","ID 509","Kamalam, India, 1976","India",5,"Trematosphaeria","Trematosphaeria_grisea",NA,"Fungus","Eumycetoma"
"129","ID 509","Kamalam, India, 1976","India",5,"Neoscytalidium","Neoscytalidium_dimidiatum",NA,"Fungus","Eumycetoma"
"130","ID 509","Kamalam, India, 1976","India",5,"Trichophyton","Trichophyton_mentagrophytes",NA,"Fungus","Eumycetoma"
"131","ID 509","Kamalam, India, 1976","India",5,"Trichophyton","Trichophyton_soudanense",NA,"Fungus","Eumycetoma"
"132","ID 509","Kamalam, India, 1976","India",5,"Xenoacremonium","Xenoacremonium_recifei",NA,"Fungus","Eumycetoma"
"133","ID 509","Kamalam, India, 1976","India",5,"Unidentified","Unidentified",NA,"Unidentified","Unidentified"
"134","ID 509","Kamalam, India, 1976","India",5,"Not_reported","Not_reported",3,"Not_reported","Not_reported"
"135","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Actinomadura","Actinomadura_spp",2,"Bacteria","Actinomycetoma"
"136","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Actinomadura","Actinomadura_pelletieri",2,"Bacteria","Actinomycetoma"
"137","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Actinomadura","Actinomadura_bovis",NA,"Bacteria","Actinomycetoma"
"138","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Actinomadura","Actinomadura_madurae",3,"Bacteria","Actinomycetoma"
"139","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Actinomadura","Actinomadura_israeli",NA,"Bacteria","Actinomycetoma"
"140","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Bacillus","Bacillus_cereus",NA,"Bacteria","Actinomycetoma"
"141","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Cellulosimicrobium","Cellulosimicrobium_cellulans",NA,"Bacteria","Actinomycetoma"
"142","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Corynebacterium","Corynebacterium_mucifaciens",NA,"Bacteria","Actinomycetoma"
"143","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Cutibacterium","Cutibacterium_acnes",NA,"Bacteria","Actinomycetoma"
"144","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Enterococcus","Enterococcus_malodoratus",NA,"Bacteria","Actinomycetoma"
"145","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Klebsiella","Klebsiella_oxytoca",NA,"Bacteria","Actinomycetoma"
"146","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Nocardia","Nocardia_spp",NA,"Bacteria","Actinomycetoma"
"147","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Nocardia","Nocardia_asteroides",NA,"Bacteria","Actinomycetoma"
"148","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Nocardia","Nocardia_brasiliensis",2,"Bacteria","Actinomycetoma"
"149","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Nocardia","Nocardia_harenae",NA,"Bacteria","Actinomycetoma"
"150","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Nocardia","Nocardia_otitidiscaviarum",NA,"Bacteria","Actinomycetoma"
"151","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Nocardia","Nocardia_takenensis",NA,"Bacteria","Actinomycetoma"
"152","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Nocardia","Nocardia_transvalensis",NA,"Bacteria","Actinomycetoma"
"153","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Sphingomonas","Sphingomonas_echinoides",NA,"Bacteria","Actinomycetoma"
"154","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Staphylococcus","Staphylococcus_spp",NA,"Bacteria","Actinomycetoma"
"155","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Staphylococcus","Staphylococcus_aureus",NA,"Bacteria","Actinomycetoma"
"156","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Staphylococcus","Staphylococcus_epidermidis",NA,"Bacteria","Actinomycetoma"
"157","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Staphylococcus","Staphylococcus_simulans",NA,"Bacteria","Actinomycetoma"
"158","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Streptomyces","Streptomyces_spp",NA,"Bacteria","Actinomycetoma"
"159","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Streptomyces","Streptomyces_somaliensis",3,"Bacteria","Actinomycetoma"
"160","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Unidentified_Actinomycetoma","Actinomycetoma_spp",NA,"Bacteria","Actinomycetoma"
"161","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Acremonium","Acremonium_spp",NA,"Fungus","Eumycetoma"
"162","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Aspergillus","Aspergillus_spp",NA,"Fungus","Eumycetoma"
"163","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Aspergillus","Aspergillus_flavus",NA,"Fungus","Eumycetoma"
"164","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Aspergillus","Aspergillus_fumigatus",NA,"Fungus","Eumycetoma"
"165","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Aspergillus","Aspergillus_nidulans",NA,"Fungus","Eumycetoma"
"166","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Aspergillus","Aspergillus_niger",NA,"Fungus","Eumycetoma"
"167","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Cladophialophora","Cladophialophora_bantiana",NA,"Fungus","Eumycetoma"
"168","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Cladophialophora","Cladophialophora_mycetomatis",NA,"Fungus","Eumycetoma"
"169","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Cladosporium","Cladosporium_ramotenellum",NA,"Fungus","Eumycetoma"
"170","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Unidentified_Eumycetoma","Eumycetoma_spp",NA,"Fungus","Eumycetoma"
"171","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Exophiala","Exophiala_spp",NA,"Fungus","Eumycetoma"
"172","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Exophiala","Exophiala_jeanselmei",1,"Fungus","Eumycetoma"
"173","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Falcifomispora","Falcifomispora_senegaliensis",NA,"Fungus","Eumycetoma"
"174","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Fusarium","Fusarium_spp",NA,"Fungus","Eumycetoma"
"175","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Fusarium","Fusarium_oxysporuim",NA,"Fungus","Eumycetoma"
"176","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Fusarium","Fusarium_solani_species_complex",NA,"Fungus","Eumycetoma"
"177","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Fusarium","Fusarium_subglutinans",NA,"Fungus","Eumycetoma"
"178","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Macroventuria","Macroventuria_anomochaeta",NA,"Fungus","Eumycetoma"
"179","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Madurella","Madurella_spp",NA,"Fungus","Eumycetoma"
"180","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Madurella","Madurella_fahalii",NA,"Fungus","Eumycetoma"
"181","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Madurella","Madurella_mycetomatis",12,"Fungus","Eumycetoma"
"182","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Medicopsis","Medicopsis_romeroi",NA,"Fungus","Eumycetoma"
"183","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Microsporum","Microsporum_canis",NA,"Fungus","Eumycetoma"
"184","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Microsporum","Microsporum_audouini",NA,"Fungus","Eumycetoma"
"185","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Penicillium","Penicillium_spp",NA,"Fungus","Eumycetoma"
"186","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Phaeoacremonium","Phaeoacremonium_parasiticum",NA,"Fungus","Eumycetoma"
"187","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Phomopsis","Phomopsis_longicola",NA,"Fungus","Eumycetoma"
"188","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Nigrograna","Nigrograna_mackinnonii",NA,"Fungus","Eumycetoma"
"189","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Sarocladium","Sarocladium_kiliense",NA,"Fungus","Eumycetoma"
"190","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Scedosporium","Scedosporium_spp",NA,"Fungus","Eumycetoma"
"191","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Scedosporium","Scedosporium_apiospermum",1,"Fungus","Eumycetoma"
"192","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Scedosporium","Scedosporium_boydii",NA,"Fungus","Eumycetoma"
"193","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Subramaniula","Subramaniula_obscura",NA,"Fungus","Eumycetoma"
"194","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Subramaniula","Subramaniula_thielavioides",NA,"Fungus","Eumycetoma"
"195","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Trematosphaeria","Trematosphaeria_grisea",NA,"Fungus","Eumycetoma"
"196","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Neoscytalidium","Neoscytalidium_dimidiatum",NA,"Fungus","Eumycetoma"
"197","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Trichophyton","Trichophyton_mentagrophytes",1,"Fungus","Eumycetoma"
"198","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Trichophyton","Trichophyton_soudanense",NA,"Fungus","Eumycetoma"
"199","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Xenoacremonium","Xenoacremonium_recifei",NA,"Fungus","Eumycetoma"
"200","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Unidentified","Unidentified",19,"Unidentified","Unidentified"
"201","ID 3734","Adoubryn, West Africa, 2009","West Africa",46,"Not_reported","Not_reported",0,"Not_reported","Not_reported"
"202","ID 5774","Ansari, India, 2023","India",38,"Actinomadura","Actinomadura_spp",NA,"Bacteria","Actinomycetoma"
"203","ID 5774","Ansari, India, 2023","India",38,"Actinomadura","Actinomadura_pelletieri",NA,"Bacteria","Actinomycetoma"
"204","ID 5774","Ansari, India, 2023","India",38,"Actinomadura","Actinomadura_bovis",NA,"Bacteria","Actinomycetoma"
