"","ID","Study_meta","Total_N","Body_region","n","percent"
"332","ID 5774","Ansari, India, 2023",38,"Lower_Limbs",32,84.2105263157895
"333","ID 5774","Ansari, India, 2023",38,"Multiple_sites",NA,NA
"334","ID 5774","Ansari, India, 2023",38,"Trunk",NA,NA
"335","ID 5774","Ansari, India, 2023",38,"Unspecified",5,13.1578947368421
"336","ID 5774","Ansari, India, 2023",38,"Upper_Limbs",1,2.63157894736842
"337","ID 5776","Elgallali, Tunisia, 2010",15,"Buttocks_Groin",NA,NA
"338","ID 5776","Elgallali, Tunisia, 2010",15,"Face_Neck",NA,NA
"339","ID 5776","Elgallali, Tunisia, 2010",15,"Lower_Limbs",14,93.3333333333333
"340","ID 5776","Elgallali, Tunisia, 2010",15,"Multiple_sites",NA,NA
"341","ID 5776","Elgallali, Tunisia, 2010",15,"Trunk",NA,NA
"342","ID 5776","Elgallali, Tunisia, 2010",15,"Unspecified",NA,NA
"343","ID 5776","Elgallali, Tunisia, 2010",15,"Upper_Limbs",1,6.66666666666667
"344","ID 5783","Kaliswaran, India, 2003",25,"Buttocks_Groin",NA,NA
"345","ID 5783","Kaliswaran, India, 2003",25,"Face_Neck",NA,NA
"346","ID 5783","Kaliswaran, India, 2003",25,"Lower_Limbs",20,80
"347","ID 5783","Kaliswaran, India, 2003",25,"Multiple_sites",NA,NA
"348","ID 5783","Kaliswaran, India, 2003",25,"Trunk",1,4
"349","ID 5783","Kaliswaran, India, 2003",25,"Unspecified",NA,NA
"350","ID 5783","Kaliswaran, India, 2003",25,"Upper_Limbs",4,16
"351","ID 5784","Lopez-Martinez, Mexico, 2013",3933,"Buttocks_Groin",NA,NA
"352","ID 5784","Lopez-Martinez, Mexico, 2013",3933,"Face_Neck",74,1.88151538265955
