"","ID","Study_meta","Total_N","Body_region","n","percent"
"67","ID 1709","Venugopal, Saudi Arabia, 1990",23,"Multiple_sites",NA,NA
"68","ID 1709","Venugopal, Saudi Arabia, 1990",23,"Trunk",1,4.34782608695652
"69","ID 1709","Venugopal, Saudi Arabia, 1990",23,"Unspecified",NA,NA
"70","ID 1709","Venugopal, Saudi Arabia, 1990",23,"Upper_Limbs",NA,NA
"71","ID 1887","El Hag, Sudan, 1994",14,"Buttocks_Groin",NA,NA
"72","ID 1887","El Hag, Sudan, 1994",14,"Face_Neck",NA,NA
"73","ID 1887","El Hag, Sudan, 1994",14,"Lower_Limbs",11,78.5714285714286
"74","ID 1887","El Hag, Sudan, 1994",14,"Multiple_sites",NA,NA
"75","ID 1887","El Hag, Sudan, 1994",14,"Trunk",NA,NA
"76","ID 1887","El Hag, Sudan, 1994",14,"Unspecified",NA,NA
"77","ID 1887","El Hag, Sudan, 1994",14,"Upper_Limbs",3,21.4285714285714
"78","ID 2183","Hassan, Sudan, 2022",359,"Buttocks_Groin",NA,NA
"79","ID 2183","Hassan, Sudan, 2022",359,"Face_Neck",NA,NA
"80","ID 2183","Hassan, Sudan, 2022",359,"Lower_Limbs",NA,NA
"81","ID 2183","Hassan, Sudan, 2022",359,"Multiple_sites",NA,NA
"82","ID 2183","Hassan, Sudan, 2022",359,"Trunk",245,68.2451253481894
"83","ID 2183","Hassan, Sudan, 2022",359,"Unspecified",114,31.7548746518106
"84","ID 2183","Hassan, Sudan, 2022",359,"Upper_Limbs",NA,NA
"85","ID 2267","Ali, Sudan, 2022",160,"Buttocks_Groin",NA,NA
"86","ID 2267","Ali, Sudan, 2022",160,"Face_Neck",NA,NA
"87","ID 2267","Ali, Sudan, 2022",160,"Lower_Limbs",128,80
"88","ID 2267","Ali, Sudan, 2022",160,"Multiple_sites",NA,NA
"89","ID 2267","Ali, Sudan, 2022",160,"Trunk",NA,NA
"90","ID 2267","Ali, Sudan, 2022",160,"Unspecified",8,5
"91","ID 2267","Ali, Sudan, 2022",160,"Upper_Limbs",24,15
"92","ID 2396","Guimara ̃es, Brazil, 2003",40,"Buttocks_Groin",NA,NA
"93","ID 2396","Guimara ̃es, Brazil, 2003",40,"Face_Neck",NA,NA
"94","ID 2396","Guimara ̃es, Brazil, 2003",40,"Lower_Limbs",34,85
"95","ID 2396","Guimara ̃es, Brazil, 2003",40,"Multiple_sites",NA,NA
"96","ID 2396","Guimara ̃es, Brazil, 2003",40,"Trunk",1,2.5
"97","ID 2396","Guimara ̃es, Brazil, 2003",40,"Unspecified",NA,NA
"98","ID 2396","Guimara ̃es, Brazil, 2003",40,"Upper_Limbs",5,12.5
"99","ID 2678","Traore, Mali, 2021",19,"Buttocks_Groin",NA,NA
"100","ID 2678","Traore, Mali, 2021",19,"Face_Neck",NA,NA
"101","ID 2678","Traore, Mali, 2021",19,"Lower_Limbs",16,84.2105263157895
"102","ID 2678","Traore, Mali, 2021",19,"Multiple_sites",NA,NA
"103","ID 2678","Traore, Mali, 2021",19,"Trunk",1,5.26315789473684
"104","ID 2678","Traore, Mali, 2021",19,"Unspecified",NA,NA
"105","ID 2678","Traore, Mali, 2021",19,"Upper_Limbs",2,10.5263157894737
"106","ID 2780","Sear, Venezuela, 2022",16,"Buttocks_Groin",NA,NA
"107","ID 2780","Sear, Venezuela, 2022",16,"Face_Neck",1,6.25
"108","ID 2780","Sear, Venezuela, 2022",16,"Lower_Limbs",11,68.75
"109","ID 2780","Sear, Venezuela, 2022",16,"Multiple_sites",NA,NA
"110","ID 2780","Sear, Venezuela, 2022",16,"Trunk",2,12.5
"111","ID 2780","Sear, Venezuela, 2022",16,"Unspecified",NA,NA
"112","ID 2780","Sear, Venezuela, 2022",16,"Upper_Limbs",2,12.5
"113","ID 2893","Correa, Mexico, 2018",174,"Buttocks_Groin",NA,NA
"114","ID 2893","Correa, Mexico, 2018",174,"Face_Neck",NA,NA
"115","ID 2893","Correa, Mexico, 2018",174,"Lower_Limbs",92,52.8735632183908
"116","ID 2893","Correa, Mexico, 2018",174,"Multiple_sites",NA,NA
"117","ID 2893","Correa, Mexico, 2018",174,"Trunk",46,26.4367816091954
"118","ID 2893","Correa, Mexico, 2018",174,"Unspecified",12,6.89655172413793
"119","ID 2893","Correa, Mexico, 2018",174,"Upper_Limbs",24,13.7931034482759
"120","ID 3081","Castro, Brazil, 1992",41,"Buttocks_Groin",NA,NA
"121","ID 3081","Castro, Brazil, 1992",41,"Face_Neck",2,4.8780487804878
"122","ID 3081","Castro, Brazil, 1992",41,"Lower_Limbs",33,80.4878048780488
"123","ID 3081","Castro, Brazil, 1992",41,"Multiple_sites",NA,NA
"124","ID 3081","Castro, Brazil, 1992",41,"Trunk",5,12.1951219512195
"125","ID 3081","Castro, Brazil, 1992",41,"Unspecified",NA,NA
"126","ID 3081","Castro, Brazil, 1992",41,"Upper_Limbs",1,2.4390243902439
"127","ID 3140","Mufti, Saudi Arabia, 2015",19,"Buttocks_Groin",1,5.26315789473684
"128","ID 3140","Mufti, Saudi Arabia, 2015",19,"Face_Neck",2,10.5263157894737
"129","ID 3140","Mufti, Saudi Arabia, 2015",19,"Lower_Limbs",15,78.9473684210526
"130","ID 3140","Mufti, Saudi Arabia, 2015",19,"Multiple_sites",NA,NA
"131","ID 3140","Mufti, Saudi Arabia, 2015",19,"Trunk",1,5.26315789473684
"132","ID 3140","Mufti, Saudi Arabia, 2015",19,"Unspecified",NA,NA
"133","ID 3140","Mufti, Saudi Arabia, 2015",19,"Upper_Limbs",NA,NA
