"","ID","Study_meta","Total_N","Indian","Bangladeshi","Saudi_Arabia","Yemeni","Sudanese","Tunisia","Moroccan","Mauritania","Somalin","Chadian","Mali","Ivorian","Senegalese","Burkina","Neger","Nigeria","Guinee","Benin","Not_reported"
"1","ID 801","A. Aounallah, Tunisia, 2023",18,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ID 3734","Adoubryn, West Africa, 2009",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,3,4,23,1,2,1,NA
"3","ID 1203","Batalla, Morocco, 2011",12,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"4","ID 3927","Daoud, Tunisia, 2005",13,NA,NA,NA,NA,NA,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ID 5253","Fahal, Sudan, 2015",6792,NA,NA,NA,NA,5097,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,1665
"6","ID 5516","K. Kallel, Tunisia, 2004",13,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ID 5785","K.D. Adoubryn, Cot Divore, 2008",87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA
"8","ID 951","Khatri, Yemen, 2002",70,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ID 3443","Khatri, Yemen, 2021",184,NA,NA,NA,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ID 3140","Mufti, Saudi Arabia, 2015",19,2,3,5,4,2,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"11","ID 3494","Siblany, Saudi Arabia, 1998",36,NA,NA,7,24,2,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
